Time,SecL,RPM,MAP,MAPxRPM,TPS,AFR,Lambda,IAT,CLT,Engine,DFCO,Gego,Gair,Gbattery,Gwarm,Gbaro,Gammae,Accel Enrich,VE (Current,VE1,VE2,PW,PW2,PW3,PW4,AFR Target,Lambda Target,Duty Cycle,Duty Cycle (Staging,TPS DOT,Advance (Current,Dwell,Dwell (Measured,Battery V,rpm/s,Boost PSI,Boost cut,Hard Launch,Hard Limiter,Idle Control,IAC value,Baro Pressure,Fan,Sync Loss #,Loops/s,Loops/rev,Aux0,Aux1,Aux2,Aux3,Aux4,Aux5,Aux6,Aux7,Aux8,Aux9,Aux10,Aux11,Aux12,Aux13,Aux14,Aux15,Advance 1,Advance 2,FuelLoad,IgnitionLoad,Sync status,Engine Prot. RPM,Engine Prot. CLT,Trip Meter Miles,Odometer Miles,Vehicle Speed,Power,Torque
15.731,42,253,86,21758.0,0.0,5.000,0.556,37.0,33.0,10,0.0,100,100,100.0,126,100,158,100,42,42,0,4.975,4.975,0.000,0.000,5.000,0.556,1.0,0.0,0,5,4.500,4.500,13.1,0,-2.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,8703,2063.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,86.0,86.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
15.797,42,204,92,18768.0,0.0,5.000,0.556,37.0,33.0,10,0.0,100,100,100.0,126,100,158,100,50,50,0,6.054,6.054,0.000,0.000,5.000,0.556,1.0,0.0,0,5,4.500,4.510,13.1,1810,-1.2,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,8703,2559.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,92.0,92.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
15.861,42,233,87,20271.0,0.0,5.000,0.556,37.0,33.0,10,0.0,100,100,100.0,126,100,158,100,44,44,0,5.159,5.159,0.000,0.000,5.000,0.556,1.0,0.0,0,5,4.500,4.510,13.1,520,-1.9,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,8703,2241.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,87.0,87.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
15.926,42,196,92,18032.0,0.0,5.000,0.556,37.0,33.0,10,0.0,100,100,100.0,126,100,158,100,50,50,0,6.054,6.054,0.000,0.000,5.000,0.556,1.0,0.0,0,5,4.500,4.511,13.1,520,-1.2,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,8703,2664.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,92.0,92.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
15.996,42,240,89,21360.0,0.0,5.000,0.556,37.0,33.0,10,0.0,100,100,100.0,126,100,158,100,48,48,0,5.653,5.653,0.000,0.000,5.000,0.556,1.1,0.0,0,5,4.500,4.511,13.0,70,-1.6,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,8703,2175.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,89.0,89.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
16.064,42,174,92,16008.0,0.0,5.000,0.556,37.0,33.0,10,0.0,100,100,100.0,126,100,158,100,50,50,0,6.054,6.054,0.000,0.000,5.000,0.556,0.9,0.0,0,5,4.500,4.511,13.0,-660,-1.2,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,8703,3001.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,92.0,92.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
16.132,42,270,89,24030.0,0.0,5.000,0.556,37.0,33.0,10,0.0,100,100,100.0,126,100,158,100,48,48,0,5.653,5.653,0.000,0.000,5.000,0.556,1.3,0.0,0,5,4.500,4.511,13.0,-660,-1.6,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,8703,1934.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,89.0,89.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
16.199,42,190,103,19570.0,0.0,5.000,0.556,37.0,33.0,10,0.0,100,100,100.0,126,100,158,100,51,51,0,6.742,6.742,0.000,0.000,5.000,0.556,1.1,0.0,0,5,4.500,4.511,13.0,60,0.4,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,8703,2748.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,103.0,103.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
16.263,42,305,91,27755.0,0.0,5.000,0.556,37.0,33.0,10,0.0,100,100,100.0,126,100,158,100,50,50,0,5.969,5.969,0.000,0.000,5.000,0.556,1.5,0.0,0,5,4.500,4.515,12.9,60,-1.3,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,8703,1712.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,91.0,91.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
16.263,42,201,91,18291.0,0.0,5.000,0.556,37.0,33.0,10,0.0,100,100,100.0,126,100,158,100,50,50,0,5.969,5.969,0.000,0.000,5.000,0.556,1.0,0.0,0,5,4.500,4.515,12.9,1250,-1.3,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,8703,2597.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,91.0,91.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
